Date,Inflation
1958-01,3.2
1958-02,3.2
1958-03,2.8
1958-04,2.4
1958-05,2.4
1958-06,2.1
1958-07,2.4
1958-08,2.1
1958-09,1.7
1958-10,1.7
1958-11,1.7
1958-12,1.7
1959-01,1.7
1959-02,1.7
1959-03,1.7
1959-04,1.7
1959-05,2.0
1959-06,2.0
1959-07,2.0
1959-08,2.0
1959-09,2.4
1959-10,2.7
1959-11,2.0
1959-12,2.0
1960-01,2.0
1960-02,2.3
1960-03,2.0
1960-04,2.0
1960-05,1.7
1960-06,1.7
1960-07,1.3
1960-08,1.3
1960-09,1.0
1960-10,1.0
1960-11,1.0
1960-12,1.0
1961-01,1.0
1961-02,0.7
1961-03,0.7
1961-04,1.0
1961-05,1.0
1961-06,1.0
1961-07,1.3
1961-08,1.3
1961-09,1.6
1961-10,1.3
1961-11,1.3
1961-12,1.3
1962-01,1.3
1962-02,1.3
1962-03,1.6
1962-04,1.3
1962-05,1.6
1962-06,1.6
1962-07,1.3
1962-08,1.3
1962-09,1.3
1962-10,1.3
1962-11,1.3
1962-12,1.3
1963-01,1.0
1963-02,1.0
1963-03,1.0
1963-04,1.3
1963-05,1.0
1963-06,1.3
1963-07,1.3
1963-08,1.6
1963-09,1.3
1963-10,1.3
1963-11,1.6
1963-12,1.6
1964-01,1.9
1964-02,1.9
1964-03,1.9
1964-04,1.6
1964-05,1.6
1964-06,1.6
1964-07,1.6
1964-08,0.9
1964-09,1.3
1964-10,1.3
1964-11,1.2
1964-12,1.2
1965-01,1.6
1965-02,1.6
1965-03,1.2
1965-04,1.6
1965-05,1.6
1965-06,1.2
1965-07,1.2
1965-08,1.6
1965-09,1.5
1965-10,1.5
1965-11,1.2
1965-12,1.5
1966-01,0.9
1966-02,1.2
1966-03,1.5
1966-04,1.8
1966-05,2.1
1966-06,2.4
1966-07,2.8
1966-08,3.1
1966-09,3.0
1966-10,3.3
1966-11,3.6
1966-12,3.3
1967-01,3.6
1967-02,3.6
1967-03,3.6
1967-04,3.3
1967-05,3.3
1967-06,3.3
1967-07,3.3
1967-08,3.3
1967-09,3.6
1967-10,3.5
1967-11,3.5
1967-12,3.8
1968-01,4.1
1968-02,4.1
1968-03,4.4
1968-04,4.4
1968-05,4.3
1968-06,4.6
1968-07,4.9
1968-08,4.9
1968-09,4.9
1968-10,4.8
1968-11,5.1
1968-12,5.1
1969-01,5.1
1969-02,5.3
1969-03,5.6
1969-04,6.1
1969-05,6.1
1969-06,5.8
1969-07,5.8
1969-08,5.8
1969-09,6.0
1969-10,6.0
1969-11,5.9
1969-12,6.2
1970-01,6.2
1970-02,6.1
1970-03,6.1
1970-04,5.8
1970-05,6.0
1970-06,6.5
1970-07,6.2
1970-08,6.2
1970-09,6.2
1970-10,6.4
1970-11,6.6
1970-12,6.6
1971-01,6.3
1971-02,5.8
1971-03,5.2
1971-04,5.0
1971-05,5.2
1971-06,4.9
1971-07,4.9
1971-08,4.6
1971-09,4.4
1971-10,3.8
1971-11,3.3
1971-12,3.1
1972-01,3.1
1972-02,3.3
1972-03,3.3
1972-04,3.3
1972-05,3.1
1972-06,2.8
1972-07,2.8
1972-08,3.3
1972-09,2.8
1972-10,3.0
1972-11,3.0
1972-12,3.0
1973-01,2.8
1973-02,2.8
1973-03,3.0
1973-04,3.2
1973-05,3.2
1973-06,3.2
1973-07,3.2
1973-08,3.2
1973-09,3.8
1973-10,4.3
1973-11,4.5
1973-12,4.7
1974-01,4.9
1974-02,5.4
1974-03,5.8
1974-04,6.2
1974-05,6.8
1974-06,7.9
1974-07,8.8
1974-08,9.6
1974-09,10.2
1974-10,10.6
1974-11,11.2
1974-12,11.1
1975-01,11.5
1975-02,11.7
1975-03,11.4
1975-04,11.3
1975-05,10.5
1975-06,9.6
1975-07,9.1
1975-08,8.2
1975-09,7.7
1975-10,7.0
1975-11,6.8
1975-12,6.7
1976-01,6.7
1976-02,6.5
1976-03,6.6
1976-04,6.4
1976-05,6.5
1976-06,6.5
1976-07,6.7
1976-08,6.8
1976-09,6.8
1976-10,6.7
1976-11,6.5
1976-12,6.1
1977-01,6.3
1977-02,6.3
1977-03,6.2
1977-04,6.3
1977-05,6.3
1977-06,6.6
1977-07,6.3
1977-08,6.2
1977-09,6.2
1977-10,6.0
1977-11,5.9
1977-12,6.5
1978-01,6.4
1978-02,6.2
1978-03,6.3
1978-04,6.5
1978-05,6.8
1978-06,7.0
1978-07,7.4
1978-08,7.5
1978-09,7.9
1978-10,8.4
1978-11,8.7
1978-12,8.5
1979-01,8.6
1979-02,9.2
1979-03,9.3
1979-04,9.3
1979-05,9.4
1979-06,9.3
1979-07,9.6
1979-08,10.0
1979-09,9.9
1979-10,10.1
1979-11,10.6
1979-12,11.3
1980-01,12.0
1980-02,12.0
1980-03,12.5
1980-04,13.0
1980-05,13.3
1980-06,13.6
1980-07,12.4
1980-08,11.8
1980-09,12.0
1980-10,12.3
1980-11,12.1
1980-12,12.2
1981-01,11.4
1981-02,10.9
1981-03,10.0
1981-04,9.5
1981-05,9.5
1981-06,9.4
1981-07,11.1
1981-08,11.6
1981-09,11.8
1981-10,10.9
1981-11,10.2
1981-12,9.5
1982-01,9.3
1982-02,9.1
1982-03,8.8
1982-04,8.9
1982-05,8.7
1982-06,8.6
1982-07,7.6
1982-08,7.1
1982-09,5.9
1982-10,5.9
1982-11,5.3
1982-12,4.5
1983-01,4.7
1983-02,4.7
1983-03,4.7
1983-04,4.3
1983-05,3.6
1983-06,2.9
1983-07,3.0
1983-08,3.0
1983-09,3.5
1983-10,3.7
1983-11,4.3
1983-12,4.8
1984-01,4.8
1984-02,4.8
1984-03,5.0
1984-04,5.0
1984-05,5.2
1984-06,5.1
1984-07,5.0
1984-08,5.1
1984-09,5.1
1984-10,4.9
1984-11,4.6
1984-12,4.7
1985-01,4.5
1985-02,4.7
1985-03,4.8
1985-04,4.5
1985-05,4.5
1985-06,4.4
1985-07,4.2
1985-08,4.1
1985-09,4.0
1985-10,4.1
1985-11,4.4
1985-12,4.3
1986-01,4.4
1986-02,4.2
1986-03,4.1
1986-04,4.2
1986-05,4.0
1986-06,4.0
1986-07,4.1
1986-08,4.0
1986-09,4.1
1986-10,4.0
1986-11,3.8
1986-12,3.8
1987-01,3.8
1987-02,3.8
1987-03,4.0
1987-04,4.2
1987-05,4.2
1987-06,4.1
1987-07,4.0
1987-08,4.2
1987-09,4.3
1987-10,4.3
1987-11,4.4
1987-12,4.2
1988-01,4.3
1988-02,4.3
1988-03,4.4
1988-04,4.3
1988-05,4.3
1988-06,4.5
1988-07,4.5
1988-08,4.4
1988-09,4.4
1988-10,4.5
1988-11,4.4
1988-12,4.7
1989-01,4.6
1989-02,4.8
1989-03,4.7
1989-04,4.6
1989-05,4.6
1989-06,4.5
1989-07,4.6
1989-08,4.4
1989-09,4.3
1989-10,4.3
1989-11,4.4
1989-12,4.4
1990-01,4.4
1990-02,4.6
1990-03,4.9
1990-04,4.8
1990-05,4.8
1990-06,4.9
1990-07,5.0
1990-08,5.5
1990-09,5.5
1990-10,5.3
1990-11,5.3
1990-12,5.2
1991-01,5.6
1991-02,5.6
1991-03,5.2
1991-04,5.1
1991-05,5.1
1991-06,5.0
1991-07,4.8
1991-08,4.6
1991-09,4.5
1991-10,4.4
1991-11,4.5
1991-12,4.4
1992-01,3.9
1992-02,3.8
1992-03,3.9
1992-04,3.9
1992-05,3.8
1992-06,3.8
1992-07,3.7
1992-08,3.5
1992-09,3.3
1992-10,3.5
1992-11,3.4
1992-12,3.3
1993-01,3.5
1993-02,3.6
1993-03,3.4
1993-04,3.5
1993-05,3.4
1993-06,3.3
1993-07,3.2
1993-08,3.3
1993-09,3.2
1993-10,3.0
1993-11,3.1
1993-12,3.2
1994-01,2.9
1994-02,2.8
1994-03,2.9
1994-04,2.8
1994-05,2.8
1994-06,2.9
1994-07,2.9
1994-08,2.9
1994-09,3.0
1994-10,2.9
1994-11,2.8
1994-12,2.6
1995-01,2.9
1995-02,3.0
1995-03,3.0
1995-04,3.1
1995-05,3.1
1995-06,3.0
1995-07,3.0
1995-08,2.9
1995-09,2.9
1995-10,3.0
1995-11,3.0
1995-12,3.0
1996-01,3.0
1996-02,2.9
1996-03,2.8
1996-04,2.7
1996-05,2.7
1996-06,2.7
1996-07,2.7
1996-08,2.6
1996-09,2.7
1996-10,2.6
1996-11,2.6
1996-12,2.6
1997-01,2.5
1997-02,2.5
1997-03,2.5
1997-04,2.7
1997-05,2.5
1997-06,2.4
1997-07,2.4
1997-08,2.3
1997-09,2.2
1997-10,2.3
1997-11,2.2
1997-12,2.2
1998-01,2.2
1998-02,2.3
1998-03,2.1
1998-04,2.1
1998-05,2.2
1998-06,2.2
1998-07,2.2
1998-08,2.5
1998-09,2.5
1998-10,2.3
1998-11,2.3
1998-12,2.4
1999-01,2.4
1999-02,2.1
1999-03,2.1
1999-04,2.2
1999-05,2.0
1999-06,2.1
1999-07,2.1
1999-08,1.9
1999-09,2.0
1999-10,2.1
1999-11,2.1
1999-12,1.9
2000-01,2.0
2000-02,2.2
2000-03,2.4
2000-04,2.3
2000-05,2.4
2000-06,2.5
2000-07,2.5
2000-08,2.6
2000-09,2.6
2000-10,2.5
2000-11,2.6
2000-12,2.6
2001-01,2.6
2001-02,2.7
2001-03,2.7
2001-04,2.6
2001-05,2.5
2001-06,2.7
2001-07,2.7
2001-08,2.7
2001-09,2.6
2001-10,2.6
2001-11,2.8
2001-12,2.7
2002-01,2.6
2002-02,2.6
2002-03,2.4
2002-04,2.5
2002-05,2.5
2002-06,2.3
2002-07,2.2
2002-08,2.4
2002-09,2.2
2002-10,2.2
2002-11,2.0
2002-12,1.9
2003-01,1.9
2003-02,1.7
2003-03,1.7
2003-04,1.5
2003-05,1.6
2003-06,1.5
2003-07,1.5
2003-08,1.3
2003-09,1.2
2003-10,1.3
2003-11,1.1
2003-12,1.1
2004-01,1.1
2004-02,1.2
2004-03,1.6
2004-04,1.8
2004-05,1.7
2004-06,1.9
2004-07,1.8
2004-08,1.7
2004-09,2.0
2004-10,2.0
2004-11,2.2
2004-12,2.2
2005-01,2.3
2005-02,2.4
2005-03,2.3
2005-04,2.2
2005-05,2.2
2005-06,2.0
2005-07,2.1
2005-08,2.1
2005-09,2.0
2005-10,2.1
2005-11,2.1
2005-12,2.2
2006-01,2.1
2006-02,2.1
2006-03,2.1
2006-04,2.3
2006-05,2.4
2006-06,2.6
2006-07,2.7
2006-08,2.8
2006-09,2.9
2006-10,2.7
2006-11,2.6
2006-12,2.6
2007-01,2.7
2007-02,2.7
2007-03,2.5
2007-04,2.3
2007-05,2.2
2007-06,2.2
2007-07,2.2
2007-08,2.1
2007-09,2.1
2007-10,2.2
2007-11,2.3
2007-12,2.4
2008-01,2.5
2008-02,2.3
2008-03,2.4
2008-04,2.3
2008-05,2.3
2008-06,2.4
2008-07,2.5
2008-08,2.5
2008-09,2.5
2008-10,2.2
2008-11,2.0
2008-12,1.8
2009-01,1.7
2009-02,1.8
2009-03,1.8
2009-04,1.9
2009-05,1.8
2009-06,1.7
2009-07,1.5
2009-08,1.4
2009-09,1.5
2009-10,1.7
2009-11,1.7
2009-12,1.8
2010-01,1.6
2010-02,1.3
2010-03,1.1
2010-04,0.9
2010-05,0.9
2010-06,0.9
2010-07,0.9
2010-08,0.9
2010-09,0.8
2010-10,0.6
2010-11,0.8
2010-12,0.8
2011-01,1.0
2011-02,1.1
2011-03,1.2
2011-04,1.3
2011-05,1.5
2011-06,1.6
2011-07,1.8
2011-08,2.0
2011-09,2.0
2011-10,2.1
2011-11,2.2
2011-12,2.2
2012-01,2.3
2012-02,2.2
2012-03,2.3
2012-04,2.3
2012-05,2.3
2012-06,2.2
2012-07,2.1
2012-08,1.9
2012-09,2.0
2012-10,2.0
2012-11,1.9
2012-12,1.9
2013-01,1.9
2013-02,2.0
2013-03,1.9
2013-04,1.7
2013-05,1.7
2013-06,1.6
2013-07,1.7
2013-08,1.8
2013-09,1.7
2013-10,1.7
2013-11,1.7
2013-12,1.7
2014-01,1.6
2014-02,1.6
2014-03,1.7
2014-04,1.8
2014-05,2.0
2014-06,1.9
2014-07,1.9
2014-08,1.7
2014-09,1.7
2014-10,1.8
2014-11,1.7
2014-12,1.6
2015-01,1.6
2015-02,1.7
2015-03,1.8
2015-04,1.8
2015-05,1.7
2015-06,1.8
2015-07,1.8
2015-08,1.8
2015-09,1.9
2015-10,1.9
2015-11,2.0
2015-12,2.1
2016-01,2.2
2016-02,2.3
2016-03,2.2
2016-04,2.1
2016-05,2.2
2016-06,2.2
2016-07,2.2
2016-08,2.3
2016-09,2.2
2016-10,2.1
2016-11,2.1
2016-12,2.2
2017-01,2.3
2017-02,2.2
2017-03,2.0
2017-04,1.9
2017-05,1.7
2017-06,1.7
2017-07,1.7
2017-08,1.7
2017-09,1.7
2017-10,1.8
2017-11,1.7
2017-12,1.8
2018-01,1.8
2018-02,1.8
2018-03,2.1
2018-04,2.1
2018-05,2.2
2018-06,2.3
2018-07,2.4
2018-08,2.2
2018-09,2.2
2018-10,2.1
2018-11,2.2
2018-12,2.2
2019-01,2.2
2019-02,2.1
2019-03,2.0
2019-04,2.1
2019-05,2.0
2019-06,2.1
2019-07,2.2
2019-08,2.4
2019-09,2.4
2019-10,2.3
2019-11,2.3
2019-12,2.3
2020-01,2.3
2020-02,2.4
2020-03,2.1
2020-04,1.4
2020-05,1.2
2020-06,1.2
2020-07,1.6
2020-08,1.7
2020-09,1.7
2020-10,1.6
2020-11,1.6
2020-12,1.6
2021-01,1.4
2021-02,1.3
2021-03,1.6
2021-04,3.0
2021-05,3.8
2021-06,4.5
2021-07,4.3
2021-08,4.0
2021-09,4.0
2021-10,4.6
2021-11,4.9
2021-12,5.5
2022-01,6.0
2022-02,6.4
2022-03,6.5
2022-04,6.2
2022-05,6.0
2022-06,5.9
2022-07,5.9
2022-08,6.3
2022-09,6.6
2022-10,6.3
2022-11,6.0
2022-12,5.7
2023-01,5.6
2023-02,5.5
2023-03,5.6
2023-04,5.5
2023-05,5.3
2023-06,4.8
2023-07,4.7
2023-08,4.3
2023-09,4.1
2023-10,4.0
2023-11,4.0
2023-12,3.9
2024-01,3.9
2024-02,3.8
2024-03,3.8
2024-04,3.6
2024-05,3.4
2024-06,3.3
2024-07,3.2
2024-08,3.2
2024-09,3.3
2024-10,0.0
2024-11,0.0
2024-12,0.0
